id	organism name	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA	domain	phylum	class	order	family	genus
999	Salmonella enterica subsp. enterica serovar Weltevreden	AAABNL.gz	AAABNL010000001-AAABNL010000093	93	4959004	BCT	2018-06-19	2019-02-12	PRJNA248792	SAMN09435078	SRR7351597	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1000	Salmonella enterica	AAABNM.gz	AAABNM010000001-AAABNM010000050	50	4767935	BCT	2018-06-19	2019-02-12	PRJNA186035	SAMN09444235	SRR7369900	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1001	Salmonella enterica	AAABNN.gz	AAABNN010000001-AAABNN010000056	56	4724602	BCT	2018-06-20	2019-02-12	PRJNA186035	SAMN09444223	SRR7370255	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1002	Salmonella enterica	AAABNO.gz	AAABNO010000001-AAABNO010000317	317	4851160	BCT	2018-06-20	2019-02-12	PRJNA284276	SAMN09243144	SRR7381972	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1003	Shigella flexneri	AAABNP.gz	AAABNP010000001-AAABNP010000352	352	4434212	BCT	2018-06-20	2019-02-12	PRJNA248792	SAMN09444023	SRR7358019	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1004	Salmonella enterica subsp. enterica serovar Hadar	AAABNQ.gz	AAABNQ010000001-AAABNQ010000074	74	4622163	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444284	SRR7358339	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1005	Salmonella enterica	AAABNR.gz	AAABNR010000001-AAABNR010000171	171	4620258	BCT	2018-06-20	2019-02-12	PRJNA284276	SAMN09243154	SRR7402442	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1006	Shigella flexneri	AAABNS.gz	AAABNS010000001-AAABNS010000381	381	4417774	BCT	2018-06-20	2019-02-12	PRJNA248792	SAMN09443974	SRR7358004	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1007	Escherichia coli	AAABNT.gz	AAABNT010000001-AAABNT010000193	193	5068390	BCT	2018-06-20	2019-02-12	PRJNA248792	SAMN09444083	SRR7358105	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1008	Escherichia coli	AAABNU.gz	AAABNU020000001-AAABNU020000204	204	4958048	BCT	2018-06-20	2020-03-07	PRJNA315192	SAMN09444048	SRR7358116	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1009	Salmonella enterica subsp. enterica serovar London	AAABNV.gz	AAABNV010000001-AAABNV010000109	109	4695436	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444333	SRR7358351	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1010	Escherichia coli	AAABNW.gz	AAABNW020000001-AAABNW020000292	292	5253750	BCT	2018-06-20	2020-03-07	PRJNA315192	SAMN09444038	SRR7358001	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1011	Salmonella enterica subsp. enterica serovar Poona	AAABNX.gz	AAABNX010000001-AAABNX010000073	73	4657108	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444289	SRR7358347	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1012	Escherichia coli	AAABNY.gz	AAABNY020000001-AAABNY020000259	259	5445859	BCT	2018-06-20	2020-03-07	PRJNA315192	SAMN09444024	SRR7358036	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1013	Salmonella enterica subsp. enterica serovar Muenchen	AAABNZ.gz	AAABNZ010000001-AAABNZ010000060	60	4938777	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444288	SRR7358344	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1014	Salmonella enterica subsp. enterica serovar Paratyphi A	AAABOA.gz	AAABOA010000001-AAABOA010000045	45	4526708	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444300	SRR7358342	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1015	Shigella flexneri	AAABOB.gz	AAABOB010000001-AAABOB010000360	360	4512321	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444107	SRR7358262	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1016	Salmonella enterica subsp. enterica serovar Kisangani	AAABOC.gz	AAABOC010000001-AAABOC010000096	96	4920611	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444329	SRR7358381	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1017	Salmonella enterica subsp. enterica serovar Infantis	AAABOD.gz	AAABOD010000001-AAABOD010000089	89	4935471	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445037	SRR7359010	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1018	Salmonella enterica subsp. enterica serovar Corvallis	AAABOE.gz	AAABOE010000001-AAABOE010000053	53	4757520	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444533	SRR7358345	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1019	Salmonella enterica subsp. enterica serovar Enteritidis	AAABOF.gz	AAABOF010000001-AAABOF010000051	51	4725588	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444348	SRR7358353	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1020	Shigella flexneri	AAABOG.gz	AAABOG010000001-AAABOG010000385	385	4438664	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444197	SRR7358285	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1021	Salmonella enterica subsp. enterica serovar Enteritidis	AAABOH.gz	AAABOH010000001-AAABOH010000090	90	4682080	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445440	SRR7359028	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1022	Shigella sonnei	AAABOI.gz	AAABOI010000001-AAABOI010000471	471	4645686	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444041	SRR7358007	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1023	Salmonella enterica subsp. enterica serovar Napoli	AAABOJ.gz	AAABOJ010000001-AAABOJ010000140	140	4629203	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444313	SRR7358359	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1024	Salmonella enterica subsp. enterica serovar Enteritidis	AAABOK.gz	AAABOK010000001-AAABOK010000040	40	4728643	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444599	SRR7358341	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1025	Salmonella enterica	AAABOL.gz	AAABOL010000001-AAABOL010000191	191	4688422	BCT	2018-06-21	2019-02-12	PRJNA284276	SAMN09243124	SRR7403114	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1026	Escherichia coli	AAABOM.gz	AAABOM010000001-AAABOM010000142	142	5264966	BCT	2018-06-20	2019-02-12	PRJNA248792	SAMN09444175	SRR7358119	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1027	Salmonella enterica subsp. enterica serovar Mississippi	AAABON.gz	AAABON010000001-AAABON010000105	105	4475193	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445483	SRR7359601	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1028	Escherichia coli	AAABOO.gz	AAABOO020000001-AAABOO020000221	221	5276223	BCT	2018-06-20	2020-03-07	PRJNA315192	SAMN09444174	SRR7358276	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1029	Salmonella enterica subsp. enterica serovar Typhimurium	AAABOP.gz	AAABOP010000001-AAABOP010000117	117	4776222	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445394	SRR7358942	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1030	Salmonella enterica subsp. enterica serovar Paratyphi A	AAABOQ.gz	AAABOQ010000001-AAABOQ010000057	57	4527254	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445429	SRR7359576	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1031	Salmonella enterica subsp. enterica serovar Anatum	AAABOR.gz	AAABOR010000001-AAABOR010000078	78	4685708	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445313	SRR7358955	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1032	Salmonella enterica subsp. enterica serovar Sandiego	AAABOS.gz	AAABOS010000001-AAABOS010000060	60	4888434	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445457	SRR7359033	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1033	Escherichia coli	AAABOT.gz	AAABOT030000001-AAABOT030000224	224	5391483	BCT	2018-06-20	2025-02-21	PRJNA315192	SAMN09444177	SRR7358288	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1034	Salmonella enterica subsp. enterica serovar Mikawasima	AAABOU.gz	AAABOU010000001-AAABOU010000037	37	4793882	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444983	SRR7359050	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1035	Salmonella enterica subsp. enterica serovar Kentucky	AAABOV.gz	AAABOV010000001-AAABOV010000062	62	4669798	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445489	SRR7359082	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1036	Shigella sonnei	AAABOW.gz	AAABOW010000001-AAABOW010000439	439	4742687	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444172	SRR7358270	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1037	Salmonella enterica subsp. enterica serovar Enteritidis	AAABOX.gz	AAABOX010000001-AAABOX010000064	64	4694491	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09444511	SRR7358383	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1038	Salmonella enterica subsp. diarizonae	AAABOY.gz	AAABOY010000001-AAABOY010000074	74	5136236	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445507	SRR7359594	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1039	Salmonella enterica subsp. enterica serovar Bareilly	AAABOZ.gz	AAABOZ010000001-AAABOZ010000038	38	4825960	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445516	SRR7359584	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1040	Salmonella enterica subsp. enterica serovar Hull	AAABPA.gz	AAABPA010000001-AAABPA010000179	179	4696638	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445525	SRR7359607	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1041	Salmonella enterica subsp. enterica serovar Enteritidis	AAABPB.gz	AAABPB010000001-AAABPB010000034	34	4696238	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445497	SRR7359617	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1042	Salmonella enterica subsp. enterica serovar Wandsworth	AAABPC.gz	AAABPC010000001-AAABPC010000198	198	4741393	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445471	SRR7359031	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1043	Shigella sonnei	AAABPD.gz	AAABPD010000001-AAABPD010000473	473	4845453	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457142	SRR7367210	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1044	Shigella flexneri	AAABPE.gz	AAABPE010000001-AAABPE010000401	401	4462037	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457138	SRR7367207	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1045	Salmonella enterica subsp. enterica	AAABPF.gz	AAABPF010000001-AAABPF010000146	146	5306925	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09445432	SRR7359017	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1046	Salmonella enterica subsp. enterica serovar Typhi	AAABPG.gz	AAABPG010000001-AAABPG010000111	111	4841907	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459115	SRR7367580	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1047	Shigella flexneri	AAABPH.gz	AAABPH010000001-AAABPH010000381	381	4414414	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457246	SRR7367238	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1048	Escherichia coli	AAABPI.gz	AAABPI020000001-AAABPI020000369	369	5413224	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09457154	SRR7367206	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1049	Escherichia coli	AAABPJ.gz	AAABPJ030000001-AAABPJ030000282	282	5331525	BCT	2018-06-21	2025-02-21	PRJNA315192	SAMN09457220	SRR7367213	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1050	Escherichia coli	AAABPK.gz	AAABPK020000001-AAABPK020000219	219	5038814	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09458578	SRR7367556	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1051	Escherichia coli	AAABPL.gz	AAABPL020000001-AAABPL020000306	306	5210260	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09457775	SRR7367429	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1052	Escherichia coli	AAABPM.gz	AAABPM020000001-AAABPM020000184	184	5308596	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09457250	SRR7367234	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1053	Escherichia coli	AAABPN.gz	AAABPN020000001-AAABPN020000214	214	5596704	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09457655	SRR7367401	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1054	Escherichia coli	AAABPO.gz	AAABPO010000001-AAABPO010000189	189	5052108	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457591	SRR7367359	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1055	Salmonella enterica subsp. enterica serovar Typhimurium	AAABPP.gz	AAABPP010000001-AAABPP010000107	107	4953095	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459138	SRR7368870	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1056	Shigella boydii	AAABPQ.gz	AAABPQ010000001-AAABPQ010000303	303	4812600	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457833	SRR7367418	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1057	Escherichia coli	AAABPR.gz	AAABPR020000001-AAABPR020000226	226	5619077	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09457687	SRR7367381	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1058	Shigella sonnei	AAABPS.gz	AAABPS010000001-AAABPS010000481	481	4527854	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457244	SRR7367251	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1059	Escherichia coli	AAABPT.gz	AAABPT020000001-AAABPT020000204	204	5319484	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09457624	SRR7367407	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1060	Shigella sonnei	AAABPU.gz	AAABPU010000001-AAABPU010000428	428	4491451	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09458219	SRR7367526	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1061	Escherichia coli	AAABPV.gz	AAABPV010000001-AAABPV010000330	330	4833479	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457952	SRR7367465	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1062	Escherichia coli	AAABPW.gz	AAABPW010000001-AAABPW010000240	240	5095487	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09458595	SRR7367552	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1063	Shigella sonnei	AAABPX.gz	AAABPX010000001-AAABPX010000488	488	4659809	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09458996	SRR7367578	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1064	Salmonella enterica subsp. enterica serovar Typhimurium	AAABPY.gz	AAABPY010000001-AAABPY010000065	65	4746518	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459238	SRR7369099	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1065	Salmonella enterica subsp. enterica serovar Typhimurium	AAABPZ.gz	AAABPZ010000001-AAABPZ010000066	66	4888105	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459217	SRR7369058	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1066	Salmonella enterica subsp. enterica serovar Enteritidis	AAABQA.gz	AAABQA010000001-AAABQA010000043	43	4685949	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459225	SRR7369059	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1067	Salmonella enterica subsp. enterica	AAABQB.gz	AAABQB010000001-AAABQB010000071	71	4757694	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459164	SRR7368898	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1068	Escherichia coli	AAABQC.gz	AAABQC020000001-AAABQC020000159	159	5129691	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09458252	SRR7367529	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1069	Shigella sonnei	AAABQD.gz	AAABQD010000001-AAABQD010000415	415	4593698	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457635	SRR7367390	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1070	Salmonella enterica subsp. enterica serovar Typhimurium	AAABQE.gz	AAABQE010000001-AAABQE010000085	85	4985896	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459209	SRR7368929	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1071	Salmonella enterica subsp. enterica serovar Braenderup	AAABQF.gz	AAABQF010000001-AAABQF010000048	48	4684938	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459177	SRR7368905	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1072	Salmonella enterica subsp. enterica	AAABQG.gz	AAABQG010000001-AAABQG010000141	141	4981321	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09459202	SRR7368918	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1073	Shigella flexneri	AAABQH.gz	AAABQH010000001-AAABQH010000358	358	4449915	BCT	2018-06-21	2019-02-12	PRJNA248792	SAMN09457752	SRR7367394	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1074	Escherichia coli	AAABQI.gz	AAABQI020000001-AAABQI020000268	268	5556930	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09459129	SRR7367589	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1075	Escherichia coli	AAABQJ.gz	AAABQJ030000001-AAABQJ030000355	355	5242716	BCT	2018-06-21	2025-02-21	PRJNA315192	SAMN09458354	SRR7367532	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1076	Salmonella enterica	AAABQK.gz	AAABQK010000001-AAABQK010000121	121	5073660	BCT	2018-06-22	2019-02-12	PRJNA186035	SAMN09444263	SRR7403477	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1077	Escherichia coli	AAABQL.gz	AAABQL020000001-AAABQL020000277	277	5277969	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09459009	SRR7367577	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1078	Escherichia coli	AAABQM.gz	AAABQM020000001-AAABQM020000402	402	5661209	BCT	2018-06-21	2020-03-13	PRJNA315192	SAMN09457549	SRR7367370	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1079	Escherichia coli	AAABQN.gz	AAABQN020000001-AAABQN020000189	189	5231109	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09459088	SRR7367584	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1080	Salmonella enterica	AAABQO.gz	AAABQO010000001-AAABQO010000225	225	4970566	BCT	2018-06-22	2019-02-12	PRJNA284276	SAMN09243140	SRR7406136	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1081	Salmonella enterica	AAABQP.gz	AAABQP010000001-AAABQP010000115	115	4815764	BCT	2018-06-23	2019-02-12	PRJNA186035	SAMN09445352	SRR7415242	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1082	Salmonella enterica	AAABQQ.gz	AAABQQ010000001-AAABQQ010000132	132	4644830	BCT	2018-06-22	2019-02-12	PRJNA284276	SAMN09243233	SRR7406063	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1083	Salmonella enterica	AAABQR.gz	AAABQR010000001-AAABQR010000089	89	5127480	BCT	2018-06-23	2019-02-12	PRJNA186035	SAMN09444219	SRR7414864	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1084	Escherichia coli	AAABQS.gz	AAABQS020000001-AAABQS020000219	219	5381453	BCT	2018-06-21	2020-03-07	PRJNA315192	SAMN09459134	SRR7368879	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1085	Salmonella enterica	AAABQT.gz	AAABQT010000001-AAABQT010000245	245	4609596	BCT	2018-06-23	2019-02-12	PRJNA284276	SAMN09243238	SRR7413584	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1086	Salmonella enterica	AAABQU.gz	AAABQU020000001-AAABQU020000069	69	4870558	BCT	2018-06-24	2023-06-16	PRJNA186035	SAMN07510063	SRR6071673	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1087	Escherichia coli	AAABQV.gz	AAABQV020000001-AAABQV020000193	193	5293864	BCT	2018-06-24	2020-03-07	PRJNA315192	SAMN09462845	SRR7401621	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1088	Escherichia coli	AAABQW.gz	AAABQW020000001-AAABQW020000226	226	5039253	BCT	2018-06-24	2020-03-07	PRJNA315192	SAMN09462756	SRR7401609	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1089	Salmonella enterica subsp. enterica serovar Coeln	AAABQX.gz	AAABQX010000001-AAABQX010000118	118	4774152	BCT	2018-06-24	2019-02-12	PRJNA248792	SAMN09462961	SRR7401712	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1090	Escherichia coli	AAABQY.gz	AAABQY030000001-AAABQY030000274	274	5366531	BCT	2018-06-24	2025-02-21	PRJNA315192	SAMN09462849	SRR7401639	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1091	Escherichia coli	AAABQZ.gz	AAABQZ020000001-AAABQZ020000209	209	5311756	BCT	2018-06-24	2020-03-07	PRJNA315192	SAMN09462863	SRR7401653	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1092	Salmonella enterica subsp. enterica serovar Newport	AAABRA.gz	AAABRA010000001-AAABRA010000145	145	5085018	BCT	2018-06-24	2019-02-12	PRJNA248792	SAMN09463220	SRR7402017	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
1093	Shigella sonnei	AAABRB.gz	AAABRB010000001-AAABRB010000409	409	4548694	BCT	2018-06-24	2019-02-12	PRJNA248792	SAMN09462889	SRR7401688	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella
1094	Escherichia coli	AAABRC.gz	AAABRC020000001-AAABRC020000232	232	5380169	BCT	2018-06-24	2020-03-13	PRJNA315192	SAMN09462850	SRR7401638	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
1095	Salmonella enterica subsp. enterica serovar Oranienburg	AAABRD.gz	AAABRD010000001-AAABRD010000048	48	4693784	BCT	2018-06-24	2019-02-12	PRJNA248792	SAMN09463226	SRR7402023	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
